"Município";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez";"2025/Jan";"2025/Fev";"2025/Mar";"2025/Abr";"2025/Mai";"2025/Jun";"2025/Jul";"2025/Ago";"2025/Set";"2025/Out";"2025/Nov";"2025/Dez";"2026/Jan";"2026/Fev";"Total"
"230770 MARANGUAPE";104934,80;125117,52;72044,87;47652,50;89088,75;84280,35;96071,78;76799,49;79022,57;61338,01;85444,03;90299,34;88234,91;83093,52;89077,14;87366,01;80732,78;74753,46;79148,03;69740,78;69054,83;71507,68;1804803,15
"230780 MARCO";55806,33;59269,14;48965,84;48359,08;63544,61;75120,09;39223,63;30827,40;34858,84;80886,25;72731,69;52660,52;96504,27;82008,05;76390,58;63979,77;82549,70;105332,63;100625,62;66146,89;97256,00;-;1433046,93
"230790 MARTINOPOLE";1391,05;3887,18;53499,22;52650,02;62898,59;26096,47;24917,46;19067,55;16009,30;92614,91;21827,64;49396,99;26459,47;26155,24;30847,11;39406,32;33151,53;-;-;-;-;-;580276,05
"230800 MASSAPE";5243,33;15719,30;18318,48;12600,59;19799,10;14556,38;69497,69;4652,08;21797,59;20271,94;9955,48;8509,57;11843,86;12520,85;10164,03;9504,77;12968,34;9695,40;11503,10;9712,72;9349,72;11500,00;329684,32
"230810 MAURITI";124313,43;95297,81;113747,70;161652,97;150638,72;117285,99;128794,49;113114,06;128964,98;159027,23;110137,00;145820,42;114552,83;133372,71;118315,97;127193,62;117279,38;162673,58;154449,60;140746,44;119864,93;-;2737243,86
"230820 MERUOCA";7649,35;5949,34;7104,01;2901,82;6390,53;4341,98;5724,70;7684,47;5847,14;5500,78;7692,48;4489,89;17572,97;11519,94;4878,64;6720,51;8973,95;10017,31;3922,72;4074,32;8945,83;7346,88;155249,56
"230830 MILAGRES";51080,79;53397,53;43413,31;35091,40;39914,91;52475,22;52911,61;48678,73;50277,60;32387,99;28133,23;37091,98;27340,26;35010,76;39317,30;36552,67;34498,43;30927,38;31704,80;41574,85;46890,19;46064,52;894735,46
"230835 MILHA";13957,76;4775,13;10900,91;11266,83;8037,92;8500,29;8568,30;12333,74;8156,65;9604,77;10329,15;9902,81;12650,58;11208,28;9430,74;8199,09;8419,21;8820,27;9857,36;7012,89;9146,36;-;201079,04
"230837 MIRAIMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"230840 MISSAO VELHA";108753,46;107901,59;121392,31;133830,76;105918,20;76947,23;109085,95;80090,72;74855,64;93708,65;100576,35;113118,57;115235,38;105685,76;129798,57;83101,29;92583,51;92009,86;84167,34;78125,40;81779,81;65302,92;2153969,27
"230850 MOMBACA";108591,86;109145,03;118964,64;123059,65;57684,20;66532,57;104522,28;82378,91;84825,70;77556,25;87764,96;108889,45;116723,21;87218,43;86770,20;83750,24;78982,38;85477,10;71544,01;56054,35;80340,95;55514,56;1932290,93
"230860 MONSENHOR TABOSA";37722,55;44210,76;30177,32;36887,55;37367,73;16019,62;21157,66;26858,41;22495,42;22169,98;27713,13;31265,13;30855,19;25559,99;23724,69;27772,31;43904,55;27574,15;33716,29;42822,02;37191,87;-;647166,32
"230870 MORADA NOVA";188467,89;223884,84;170020,04;172571,61;187617,99;113029,08;38697,43;47762,84;34364,54;38880,43;50472,63;51875,91;62193,99;91130,74;66588,59;82079,23;89231,83;92706,81;116775,06;109135,87;96760,15;100616,25;2224863,75
"230880 MORAUJO";3673,26;1976,76;2146,98;2198,25;1915,35;2219,50;2449,68;1564,55;2499,95;1557,14;2740,83;1250,64;4060,49;5047,10;2413,39;3644,84;4463,61;4627,68;2385,87;4651,06;2992,82;-;60479,75
"230890 MORRINHOS";6151,09;5450,80;10085,19;3025,72;6191,09;4044,59;8077,63;5860,42;2526,41;2364,50;8774,16;6312,53;9904,86;11484,99;9067,87;9753,91;4746,06;3839,37;12105,50;7946,07;7795,42;-;145508,18
"230900 MUCAMBO";77864,69;76562,31;57910,91;43081,82;46423,62;60200,82;-;69347,37;61135,16;44307,22;75844,03;42516,84;62362,51;70225,63;49387,84;51532,56;69766,98;21834,21;60830,95;57750,81;53963,34;-;1152849,62
"230910 MULUNGU";10721,96;7494,02;6075,41;5499,67;12299,11;12761,66;5966,47;5201,98;3187,77;1799,28;3790,28;8130,62;6336,58;6780,67;17456,38;3293,69;9476,71;1655,86;8720,14;4570,98;2522,71;1867,65;145609,60
"230920 NOVA OLINDA";14451,89;9753,02;4254,47;11926,88;4346,01;6847,55;8343,45;2895,89;10388,04;8383,11;10140,07;13200,46;6387,48;13890,21;8194,35;4298,38;12132,26;9700,85;8916,81;12826,20;9020,54;9935,28;200233,20
"230930 NOVA RUSSAS";122728,98;132040,25;115753,85;110092,68;92312,50;99185,39;61684,58;41619,60;71954,23;52183,83;78538,89;94685,57;122294,94;104596,86;86810,87;68302,18;85398,57;100409,08;98992,74;55632,95;48130,67;47132,23;1890481,44
"230940 NOVO ORIENTE";41626,88;30362,51;21329,48;25653,02;24882,87;18090,27;23339,45;18883,85;20977,37;16921,43;26720,48;19772,79;22872,57;19323,33;23363,00;20738,07;19750,70;16061,52;17490,57;13571,63;17374,33;17114,72;476220,84
"230945 OCARA";14768,71;12315,64;6150,18;15023,59;8682,06;9413,46;7278,29;6881,98;5845,26;8847,85;4709,77;13222,57;15342,11;25745,59;16720,96;14116,02;13563,67;12350,81;3493,00;6059,08;7972,46;9079,19;237582,25
"230950 OROS";30937,56;26459,87;33323,24;31378,80;29156,63;32057,56;31694,47;24612,09;31505,07;26388,98;37540,11;37420,18;43613,74;44718,91;39928,60;30856,83;34277,26;33815,87;40866,76;30138,56;26249,15;26953,28;723893,52
"230960 PACAJUS";32027,74;43676,23;24950,12;30576,03;22797,47;7460,38;18105,51;24849,99;39456,28;26392,95;23143,67;31530,80;34489,05;34907,72;34678,85;23953,82;27013,69;31631,02;29699,37;25312,49;21736,74;-;588389,92
"230970 PACATUBA";8504,72;13067,47;15074,86;24258,70;5548,02;5509,83;4965,60;6450,76;11084,41;20175,36;33681,70;40137,96;43514,20;43531,61;36926,40;30535,75;30285,60;39107,73;39187,13;26545,92;30545,48;30415,15;539054,36
"230980 PACOTI";6517,31;1457,46;1651,00;2757,78;4421,80;2368,38;2262,54;3081,79;3626,61;1197,04;6291,69;1672,49;7649,84;6943,68;6457,89;3938,68;2686,83;4117,73;3858,07;2773,20;584,58;-;76316,39
"230990 PACUJA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"231000 PALHANO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"231010 PALMACIA";1159,25;3621,71;1889,92;1118,04;485,02;168,44;1855,76;384,80;1602,20;2388,19;2107,56;1408,57;4184,18;1974,59;1438,66;3889,89;4951,04;2558,17;1826,92;847,74;-;-;39860,65
"231020 PARACURU";32100,08;31464,90;31696,39;32041,61;31286,18;26692,32;24107,18;15298,83;12927,02;9962,71;13306,61;13701,11;13977,64;29658,58;15929,98;41086,52;23912,28;23794,66;35823,78;54079,97;28303,92;47717,45;588869,72
"231025 PARAIPABA";10214,48;8072,83;14618,88;7179,70;14839,37;25904,95;23158,19;8590,90;7066,67;12506,06;21739,59;38024,94;55145,25;32303,39;30112,91;23648,08;22867,96;17344,01;16832,52;39132,43;35749,96;33213,82;498266,89
"231030 PARAMBU";77267,94;74917,98;90711,49;88949,04;85581,78;75607,78;75717,15;57713,34;71191,34;68649,56;49671,79;65948,66;73731,80;56455,24;77672,06;82211,87;69723,86;60064,82;55850,87;21673,06;66238,23;68386,81;1513936,47
"231040 PARAMOTI";-;22875,98;9672,64;8687,55;4590,28;6549,61;5404,92;1524,56;7496,56;1511,71;11297,97;11206,46;14553,35;9113,21;7008,59;5089,30;8119,43;6053,73;3950,35;4253,72;5714,82;-;154674,74
"231050 PEDRA BRANCA";52510,16;38758,28;35380,60;51997,76;20691,39;28787,53;24517,70;23567,17;34829,68;27970,88;43357,78;43133,93;40960,74;48827,09;42950,11;38364,87;26120,00;30343,68;34662,42;25545,02;31368,51;25858,43;770503,73
"231060 PENAFORTE";61959,93;50695,20;50792,40;4329,55;5195,46;4329,55;1216,14;88,44;1948,11;6339,44;5857,75;13232,66;11058,70;13756,12;8081,35;5210,02;4279,41;8166,00;5049,55;670,30;2946,95;-;265203,03
"231070 PENTECOSTE";36345,76;32219,46;35735,17;30739,92;29475,79;26303,54;36018,42;24330,95;25256,26;22823,37;26105,43;31929,36;34138,06;22353,97;12819,90;12792,04;10298,46;15607,74;12505,11;12278,23;12075,64;12402,41;514554,99
"231080 PEREIRO";25829,06;18380,26;18610,62;22800,86;13077,89;16231,47;18087,78;21665,58;10158,59;11725,79;17112,64;18421,89;20018,56;18477,26;12084,13;15960,42;16560,74;21465,78;19037,19;14432,88;14204,73;16550,47;380894,59
"231085 PINDORETAMA";11592,55;9326,73;17024,77;11129,45;4654,15;13566,85;11388,87;8536,26;4953,26;3699,99;2278,47;1048,54;9969,92;5267,41;4123,24;8418,73;5911,55;4495,33;2407,70;6012,99;6881,74;-;152688,50
"231090 PIQUET CARNEIRO";21761,10;26447,58;20386,51;17135,70;12172,44;12356,77;14980,80;20541,14;21704,99;18743,57;23884,96;24692,74;29087,00;24550,20;28047,53;9498,52;29301,62;19562,81;20995,66;14839,49;18022,20;21829,70;450543,03
"231095 PIRES FERREIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"231100 PORANGA";9524,83;7796,60;7966,79;5449,84;7087,35;5281,27;2681,47;7832,60;5538,06;10815,23;7362,69;8170,92;15502,93;19201,64;16516,53;17707,11;22436,57;17623,55;17755,92;21060,87;17105,29;-;250418,06
"231110 PORTEIRAS";15695,27;17650,08;19000,01;12770,44;16074,85;15641,88;12090,81;12774,81;15751,89;11794,91;14287,78;9993,21;18167,07;21353,32;16828,45;23795,28;17079,03;21416,92;21176,67;20101,31;17463,14;17356,35;368263,48
"231120 POTENGI";10747,07;7837,05;6097,03;9219,78;13428,28;7859,81;11813,54;9694,87;7541,02;6989,41;10378,78;13287,48;14131,66;8825,99;11454,69;13892,70;11224,81;12846,12;16599,33;14995,71;13188,68;11674,37;243728,18
"231123 POTIRETAMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4835,35;-;-;-;-;4835,35
"231126 QUITERIANOPOLIS";14249,87;8969,70;13612,81;8764,92;7746,45;9668,58;8196,17;10383,35;13050,75;13986,07;11214,05;17747,09;24183,23;18493,54;12064,77;15951,32;43495,84;34968,35;28022,19;-;-;-;314769,05
"231130 QUIXADA";608892,57;610306,06;643267,02;660632,17;624870,87;556739,89;558160,13;637813,18;546740,85;530012,45;663948,61;636290,33;709373,02;687726,38;674968,64;682061,95;671788,93;638884,21;703558,56;693109,75;619374,89;685915,17;14044435,63
"231135 QUIXELO";26392,22;21041,96;30218,40;26011,01;25640,85;25894,00;20280,83;17676,18;18849,52;17877,13;22848,64;25206,29;41704,94;33244,35;24442,24;24719,00;18484,96;27070,15;19736,58;24790,38;21779,97;-;513909,60
"231140 QUIXERAMOBIM";1275966,16;1184242,28;1294553,07;1281384,96;854622,69;983322,78;754379,89;640878,57;560115,37;932335,86;809247,05;944066,09;1524413,12;1686127,22;1361675,17;1978396,36;2058692,85;2882813,06;2281495,34;2269722,04;3967404,37;1653578,76;33179433,06
"231150 QUIXERE";19083,51;18350,02;14681,60;9472,55;11535,66;11634,91;10171,91;11608,88;13000,75;13454,77;16779,08;19415,05;22768,72;13112,07;9651,03;11661,92;15711,10;7308,89;12578,46;8749,08;10047,41;7640,57;288417,94
"231160 REDENCAO";55015,34;60289,11;53975,51;52297,95;44669,94;49869,87;51977,95;41593,88;36750,94;43795,33;57676,02;52395,42;70967,26;66200,96;54131,44;52290,71;49143,34;51778,68;47961,58;43588,70;44985,90;53839,75;1135195,58
"231170 RERIUTABA";15003,96;8364,60;10862,66;8658,17;12752,39;11443,77;7297,26;9541,16;9352,40;7603,74;13651,30;9727,83;17087,75;13269,60;8460,43;10083,89;7307,03;8476,12;12037,08;8087,39;-;-;209068,53
"231180 RUSSAS";328829,62;301584,18;284604,17;292621,17;311758,55;300210,17;255120,26;237466,23;206251,12;236280,85;249814,97;290125,55;322048,53;328653,84;267710,59;279139,99;295126,65;274190,77;279878,46;273240,40;232614,42;-;5847270,49
"231190 SABOEIRO";9050,67;12010,30;4867,59;2586,99;3843,18;1816,64;2655,93;3428,71;3048,16;4383,48;9232,55;16035,93;15937,72;12692,12;10266,53;7938,39;8737,39;7486,58;8725,30;5076,34;7565,50;9127,04;166513,04
"231195 SALITRE";18055,74;15400,55;11163,57;12883,09;8474,83;10327,93;12044,41;7200,60;6529,45;14396,78;12539,10;10370,78;17673,41;14633,15;9874,00;16678,88;14187,14;21596,19;12249,31;16910,97;18542,05;12679,98;294411,91
"231200 SANTANA DO ACARAU";25821,61;25070,29;20732,08;26918,54;27563,43;21534,52;28141,79;25870,93;22538,32;24369,87;20148,42;26619,47;26101,18;30141,54;29745,52;28547,58;32487,74;25610,64;32356,50;33441,48;-;-;533761,45
"231210 SANTANA DO CARIRI";12508,50;9856,58;4219,62;8622,56;5892,16;6567,55;4848,73;6862,60;6216,74;7297,93;9213,51;11827,10;13474,91;11579,24;7189,35;6460,90;6252,10;5321,40;6195,36;3751,13;6541,73;4649,79;165349,49
"231220 SANTA QUITERIA";31510,09;26020,75;40206,34;51567,05;46160,17;42955,06;40882,88;38693,38;37537,20;28462,03;44245,79;56302,69;50507,61;88247,64;69505,55;68694,26;87707,74;54004,44;50221,75;47985,94;79769,43;50798,02;1131985,81
"231230 SAO BENEDITO";57678,38;121300,48;67052,87;81272,44;85837,19;61394,80;46096,95;33994,63;54315,37;54215,35;81280,67;98816,61;76695,22;87434,42;74087,94;80136,52;87189,83;55907,11;66791,59;70589,22;55822,72;74824,56;1572734,87
"231240 SAO GONCALO DO AMARANTE";398231,97;427743,38;389040,06;368169,22;339959,41;293515,06;385438,58;212538,13;342016,99;234960,45;341254,10;312207,55;319049,46;404355,10;330698,29;287788,56;311328,30;236532,67;306061,77;291245,32;284171,68;320535,13;7136841,18
"231250 SAO JOAO DO JAGUARIBE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"231260 SAO LUIS DO CURU";2196,50;2973,20;3753,34;1750,77;606,42;2619,36;801,10;-;3786,90;2479,78;740,35;2228,10;7883,40;1991,48;4362,48;8978,28;7897,01;4616,66;4746,21;2327,25;3907,18;2377,15;73022,92
"231270 SENADOR POMPEU";22994,61;27422,33;21808,80;19425,67;27646,57;15715,62;13214,32;18561,77;23944,74;15075,37;21383,43;22226,54;22206,87;29390,88;24269,57;23128,57;18235,44;16980,37;23755,50;23026,07;-;-;430413,04
"231280 SENADOR SA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"231290 SOBRAL";6924634,69;6752494,05;7736391,85;7900771,19;6752439,84;6503898,12;7003177,88;7480548,92;7672418,76;7184977,54;6880273,52;6819323,39;6954519,43;5774122,91;7144706,61;6387532,39;7976515,68;8638817,70;7388681,69;6730002,03;8105227,06;2009981,61;152721456,86
"231300 SOLONOPOLE";9801,39;14088,65;13062,13;15597,00;15117,27;15337,24;7904,07;5959,46;20407,85;14585,17;19727,87;18677,96;19609,98;17934,58;12094,37;10604,13;13338,06;13251,20;7473,01;13437,87;11366,43;4441,10;293816,79
"231310 TABULEIRO DO NORTE";105450,95;84261,78;149113,21;118471,42;149763,40;43560,73;44773,53;54971,65;54566,76;48827,17;52466,49;91569,24;84099,81;88956,71;58344,54;109433,23;218362,07;119947,76;253571,79;173181,01;147460,37;95791,90;2346945,52
"231320 TAMBORIL";74427,89;58721,93;61564,48;50017,62;38232,36;49729,23;33294,54;17835,07;42998,80;40863,35;42260,12;32914,46;46662,99;47589,88;41979,55;54511,13;46272,08;36631,19;39898,83;40488,06;37151,62;37029,47;971074,65
"231325 TARRAFAS";4389,78;5134,51;7408,00;4389,09;3518,41;-;-;-;5381,41;4741,74;7719,38;6404,65;12270,04;8468,52;6190,42;2635,60;2787,63;2158,12;1495,07;2332,51;3278,22;1698,03;92401,13
"231330 TAUA";665899,31;636285,42;579137,92;685040,20;643126,14;701465,18;592203,51;637217,34;588008,15;548977,22;681349,90;611008,99;714029,72;635132,58;605882,58;656733,28;618239,02;631469,80;613967,75;668934,36;617834,05;544319,20;13876261,62
"231335 TEJUCUOCA";6646,50;2922,47;9029,94;5480,52;2596,98;3840,03;1780,08;1747,26;3910,53;6339,75;6855,79;5591,04;8577,78;8502,37;12623,16;11458,64;8055,51;8306,93;11651,89;5833,68;3383,46;3533,22;138667,53
"231340 TIANGUA";1005585,17;1045579,03;981258,39;917387,63;921094,76;948152,18;816502,60;812202,98;876320,04;735787,00;1070000,75;1235161,31;1074407,25;1086864,02;1043803,36;971665,89;1219612,41;1441791,80;1387959,98;1252848,08;1533016,32;1465324,61;23842325,56
"231350 TRAIRI";45086,56;32348,96;28071,94;20982,26;29975,17;26862,35;27233,88;23021,93;26516,61;33137,93;33178,30;23618,00;49940,89;31438,59;28487,38;21273,53;19122,17;15626,70;20032,23;9397,34;26199,78;21311,11;592863,61
"231355 TURURU";8784,51;4826,95;3836,86;2891,80;2629,95;2563,94;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25534,01
"231360 UBAJARA";29809,51;26592,63;24075,83;24472,76;25024,53;20475,48;17367,60;30962,27;37791,06;29219,84;45370,61;47876,11;93574,40;41425,85;86710,59;84484,61;97470,05;83817,03;92538,41;79043,89;61080,98;66477,76;1145661,80
"231370 UMARI";10146,31;5778,91;4524,93;6918,60;2283,65;5603,20;2860,95;2330,22;3175,57;1914,74;2813,32;6156,76;9398,13;17705,46;6371,96;6285,67;2810,15;1952,31;4188,13;3590,29;2877,78;4152,53;113839,57
"231375 UMIRIM";1220,84;1395,41;3823,05;3853,84;849,10;1804,66;838,91;1458,34;2868,23;2857,00;2459,88;3381,58;5583,91;6411,73;5259,20;4518,92;2342,93;3047,76;3453,62;1236,84;3651,63;1167,66;63485,04
"231380 URUBURETAMA";8671,56;8838,53;7825,07;8832,26;5272,87;5852,64;7042,06;3131,27;5606,29;4653,83;5518,52;4812,13;8507,05;8825,15;18834,77;7061,66;8990,15;2964,10;5872,91;-;-;-;137112,82
"231390 URUOCA";1079,54;1158,53;1164,84;292,62;1816,28;2195,87;1691,21;1001,53;-;3798,96;3955,14;-;-;-;-;-;-;-;-;-;-;-;18154,52
"231395 VARJOTA";23368,80;18245,81;21775,35;20240,89;19646,87;18033,15;15502,53;14219,83;15093,80;13128,77;20708,55;13582,53;27794,71;21462,92;17154,42;16651,03;11097,34;17481,32;20300,04;17991,59;14795,07;13146,04;391421,36
"231400 VARZEA ALEGRE";198648,34;168616,69;146105,00;167232,14;153908,49;162270,75;159631,52;134874,09;141699,24;103177,99;124322,72;204900,38;162880,64;140983,32;150184,21;159385,32;173139,59;164379,98;155278,36;167988,69;144900,19;154469,79;3438977,44
"231410 VICOSA DO CEARA";138676,41;138494,84;112420,28;142454,95;107362,97;99081,94;81340,41;76097,96;101776,04;80385,92;124890,75;110880,72;137481,08;134334,39;118313,24;119122,51;112846,97;121161,27;110266,15;80175,24;96023,25;101186,42;2444773,71
" MUNICIPIO IGNORADO - RN";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240010 ACARI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240020 ASSU";109005,09;171995,55;153387,86;192624,39;180964,84;127959,49;130270,13;187198,36;117995,13;9186,62;335002,85;205949,61;237896,74;357165,15;166974,10;295618,58;127811,24;252182,65;371455,52;161617,34;50636,80;92969,32;4035867,36
"240030 AFONSO BEZERRA";-;-;-;-;-;-;-;-;-;-;-;5904,76;5552,18;3700,82;3036,58;3943,07;1331,59;1629,79;3721,66;2650,73;4294,28;2878,11;38643,57
"240040 AGUA NOVA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240050 ALEXANDRIA";311716,52;298196,77;293796,20;291632,96;294318,39;296239,83;313575,08;291801,96;325638,51;294175,80;312752,16;443056,15;340814,91;295966,95;299758,22;315715,54;308196,87;298470,02;301504,61;444348,75;290748,85;288935,83;6951360,88
"240060 ALMINO AFONSO";471249,30;405263,66;479446,27;601991,24;439443,30;282539,08;196597,69;208837,69;115292,02;469418,93;430003,91;353555,75;437266,00;576930,08;552560,26;572693,85;174212,65;619181,02;447655,23;283288,46;81129,57;110216,80;8308772,76
"240070 ALTO DO RODRIGUES";1770,33;-;11565,68;7283,03;10413,07;8177,96;-;2010,99;6287,81;9362,05;9743,71;12847,08;15515,79;10935,95;16151,26;14544,90;8152,31;7700,19;7221,83;-;-;-;159683,94
"240080 ANGICOS";25972,01;17223,13;15963,85;19281,61;19675,47;10033,02;6624,03;3388,04;6913,06;7210,48;10832,62;9407,45;10092,43;8511,27;7900,61;5524,00;7650,81;5854,37;6928,52;4636,45;7562,51;-;217185,74
"240090 ANTONIO MARTINS";20445,60;12758,76;23524,35;14820,82;15519,41;15614,75;10455,83;13610,61;10058,47;16743,60;15311,80;21556,64;7640,07;34529,63;29701,17;19716,09;12719,90;20906,63;1111,82;11745,88;8335,12;19564,11;356391,06
"240100 APODI";74736,09;63885,28;132290,67;126773,30;126485,97;62201,08;109761,93;108227,64;37890,10;72737,17;94359,80;88914,25;114111,51;119614,44;202070,36;158946,61;164397,23;150353,32;123547,27;168759,45;81262,93;87506,67;2468833,07
"240110 AREIA BRANCA";14339,68;22179,65;24751,48;19088,70;38130,64;25388,54;24853,15;3670,55;11317,45;6096,14;11563,87;10629,29;12883,89;13610,99;8168,32;9557,51;9664,86;8943,80;8570,63;7941,47;5425,78;11493,29;308269,68
"240120 AREZ";-;-;-;-;-;-;-;-;-;-;309,54;221,10;353,76;176,88;132,66;221,10;-;-;-;-;-;-;1415,04
"240130 CAMPO GRANDE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240140 BAIA FORMOSA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240145 BARAUNA";14706,23;7830,28;26586,99;13913,78;15361,09;16835,05;8743,22;23393,82;26590,61;21989,07;22581,63;16127,84;32636,39;25739,40;36694,03;16989,92;15583,47;17711,69;45144,19;12285,31;-;-;417444,01
"240150 BARCELONA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240160 BENTO FERNANDES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240165 BODO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240170 BOM JESUS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240180 BREJINHO";4161,56;3312,13;7088,79;991,80;2631,34;2013,40;2760,23;5968,72;1244,84;4869,29;3819,63;2059,65;3580,63;7232,90;4042,13;6019,93;1462,31;7816,20;2669,85;5573,10;-;-;79318,43
"240185 CAICARA DO NORTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240190 CAICARA DO RIO DO VENTO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240200 CAICO";670920,61;525152,05;505838,89;493359,17;417847,73;555072,27;454884,60;561391,58;528245,80;467723,88;445020,45;578574,57;596509,84;335157,73;748378,63;587605,07;554985,43;494913,37;553248,46;536952,01;450974,80;466549,34;11529306,28
"240210 CAMPO REDONDO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240220 CANGUARETAMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240230 CARAUBAS";34834,44;23992,03;30691,13;44885,30;10827,39;18954,77;28559,24;20665,15;12560,69;25048,61;11698,56;12846,63;18958,91;20956,87;19539,41;15094,98;15520,34;16862,10;15578,83;22783,67;14291,83;12882,12;448033,00
"240240 CARNAUBA DOS DANTAS";-;-;-;4109,86;1331,70;-;-;-;2707,05;1233,84;2076,20;1404,43;6936,80;3389,25;2825,28;1797,95;2822,50;2079,13;2510,86;-;-;-;35224,85
"240250 CARNAUBAIS";4517,92;932,88;2962,51;598,42;3089,37;1196,84;633,52;1323,02;1122,77;1540,67;2793,15;3311,21;7379,66;3511,58;6473,80;3000,25;3412,02;719,34;1322,15;4312,54;4776,29;4441,13;63371,04
"240260 CEARA-MIRIM";197158,02;165105,84;193855,14;214590,14;196683,66;176721,73;149737,57;143308,49;141605,72;139178,23;186737,51;206908,85;199110,41;206162,11;195845,26;210274,75;187320,34;131823,41;148411,53;166330,64;141873,73;166735,86;3865478,94
"240270 CERRO CORA";2675,06;7055,86;6272,48;2613,17;2615,48;4663,98;2654,58;758,39;1867,72;3012,42;3843,40;6508,58;13748,81;11565,55;3783,02;3796,14;3758,79;5240,58;2854,95;3739,32;2593,25;-;95621,53
"240280 CORONEL EZEQUIEL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240290 CORONEL JOAO PESSOA";-;1779,26;1247,94;-;-;2159,88;-;491,83;-;2418,31;545,99;1204,84;739,46;598,42;614,42;1164,84;-;-;-;-;-;-;12965,19
"240300 CRUZETA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240310 CURRAIS NOVOS";553867,14;556291,96;505556,67;808428,08;753587,00;654763,50;750412,71;728818,10;707704,87;648264,87;709463,42;764726,05;553533,53;562259,95;505245,41;739763,19;585994,20;549971,20;480661,03;846291,91;344876,98;432700,91;13743182,68
"240320 DOUTOR SEVERIANO";4219,36;5868,59;2367,59;4082,58;2572,10;3213,18;3750,33;5332,38;4720,65;5464,42;5891,36;3819,00;4284,26;2500,53;11479,88;4108,02;2301,24;3690,68;10885,45;2454,52;6436,01;2680,66;102122,79
"240325 PARNAMIRIM";1384821,61;1225188,28;1444491,70;1492718,16;1171611,51;1606756,25;1363125,17;962501,73;1287027,29;1587371,43;1665216,36;1568608,19;1850025,30;1980346,92;1411742,15;2108161,90;2365273,78;802170,62;1988405,76;1728649,17;1997679,58;2060324,15;35052217,01
"240330 ENCANTO";845,32;1210,77;2151,29;626,64;338,55;265,51;918,14;699,46;918,14;324,90;204,50;582,42;904,10;582,42;768,58;2112,42;2609,30;901,96;852,80;582,42;739,69;768,58;19907,91
"240340 EQUADOR";3527,22;3092,32;5850,62;9126,56;3973,70;4338,97;657,86;2186,89;3229,40;2750,79;2645,64;2547,35;2813,96;1789,68;5288,72;2390,78;3567,43;1394,61;4246,24;-;-;-;65418,74
"240350 ESPIRITO SANTO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240360 EXTREMOZ";7507,73;6659,36;9171,61;9015,77;7951,30;5162,34;9507,36;5015,47;6536,90;9772,35;7179,95;8579,45;7926,66;6806,87;7899,73;9048,82;6675,04;9156,21;6912,91;8867,85;-;-;155353,68
"240370 FELIPE GUERRA";4129,04;2798,67;943,22;1989,94;590,42;1591,49;2120,14;2740,57;2594,00;1960,65;2694,18;270,38;500,87;2993,45;1256,31;2176,92;2528,83;609,24;2027,86;3604,70;-;-;40120,88
"240375 FERNANDO PEDROZA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240380 FLORANIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
